method,pair_name,role_a,role_b,image_name,cover_mean_score,stego_mean_score,cover_max_score,stego_max_score,cover_flagged_ratio,stego_flagged_ratio,cover_mean_conf,stego_mean_conf,score_delta,max_score_delta,flagged_ratio_delta,confidence_delta,pair_mean_conf,score_delta_conf_weighted,pre_secret_mean_score,secret_mean_score,pre_secret_max_score,secret_max_score,pre_secret_flagged_ratio,secret_flagged_ratio,pre_secret_mean_conf,secret_mean_conf
dct,cover_vs_stego,cover,stego,00099.png,0.0,0.19999999999999998,0.0,0.7,0.0,0.25,0.5,0.5,0.19999999999999998,0.7,0.25,0.0,0.5,0.09999999999999999,,,,,,,,
dct,cover_vs_stego,cover,stego,00199.png,0.1,0.25,0.4,0.9,0.25,0.25,0.5,0.5,0.15,0.5,0.0,0.0,0.5,0.075,,,,,,,,
dct,cover_vs_stego,cover,stego,00299.png,0.0,0.475,0.0,1.0,0.0,0.5,0.5,0.5,0.475,1.0,0.5,0.0,0.5,0.2375,,,,,,,,
dct,cover_vs_stego,cover,stego,00399.png,0.0,0.1,0.0,0.2,0.0,0.25,0.5,0.5,0.1,0.2,0.25,0.0,0.5,0.05,,,,,,,,
dct,cover_vs_stego,cover,stego,00499.png,0.0,0.225,0.0,0.8,0.0,0.25,0.5,0.5,0.225,0.8,0.25,0.0,0.5,0.1125,,,,,,,,
dct,cover_vs_stego,cover,stego,00599.png,0.0,0.22499999999999998,0.0,0.7,0.0,0.25,0.5333333333333333,0.5333333333333333,0.22499999999999998,0.7,0.25,0.0,0.5333333333333333,0.11999999999999998,,,,,,,,
dct,cover_vs_stego,cover,stego,00699.png,0.0,0.425,0.0,1.0,0.0,0.5,0.5,0.5,0.425,1.0,0.5,0.0,0.5,0.2125,,,,,,,,
dct,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.5,0.2,1.0,0.25,0.5,0.5,0.5,0.35,0.8,0.25,0.0,0.5,0.175,,,,,,,,
dct,cover_vs_stego,cover,stego,00899.png,0.0,0.3,0.0,0.9,0.0,0.25,0.5,0.5,0.3,0.9,0.25,0.0,0.5,0.15,,,,,,,,
dct,cover_vs_stego,cover,stego,00999.png,0.0,0.47500000000000003,0.0,0.9,0.0,0.75,0.5333333333333333,0.5333333333333333,0.47500000000000003,0.9,0.75,0.0,0.5333333333333333,0.25333333333333335,,,,,,,,
dct,cover_vs_stego,cover,stego,01099.png,0.025,0.15,0.1,0.6,0.0,0.25,0.5,0.5,0.125,0.5,0.25,0.0,0.5,0.0625,,,,,,,,
