method,pair_name,image_name,tool,role_a,role_b,role_a_path,role_b_path,return_code,elapsed_sec,stdout_log,stderr_log
dct,cover_vs_stego,00099.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/00099.png,data/baseline/5/results_raw/dct/stego/00099.png,0,0.9451155662536621,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00099_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00099_print-diffs_stderr.txt
dct,cover_vs_stego,00199.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/00199.png,data/baseline/5/results_raw/dct/stego/00199.png,0,0.9342119693756104,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00199_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00199_print-diffs_stderr.txt
dct,cover_vs_stego,00299.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/00299.png,data/baseline/5/results_raw/dct/stego/00299.png,0,0.9165670871734619,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00299_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00299_print-diffs_stderr.txt
dct,cover_vs_stego,00399.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/00399.png,data/baseline/5/results_raw/dct/stego/00399.png,0,0.9762332439422607,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00399_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00399_print-diffs_stderr.txt
dct,cover_vs_stego,00499.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/00499.png,data/baseline/5/results_raw/dct/stego/00499.png,0,0.9125180244445801,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00499_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00499_print-diffs_stderr.txt
dct,cover_vs_stego,00599.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/00599.png,data/baseline/5/results_raw/dct/stego/00599.png,0,0.9216012954711914,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00599_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00599_print-diffs_stderr.txt
dct,cover_vs_stego,00699.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/00699.png,data/baseline/5/results_raw/dct/stego/00699.png,0,0.9359064102172852,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00699_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00699_print-diffs_stderr.txt
dct,cover_vs_stego,00799.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/00799.png,data/baseline/5/results_raw/dct/stego/00799.png,0,0.9015004634857178,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00799_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00799_print-diffs_stderr.txt
dct,cover_vs_stego,00899.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/00899.png,data/baseline/5/results_raw/dct/stego/00899.png,0,0.900454044342041,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00899_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00899_print-diffs_stderr.txt
dct,cover_vs_stego,00999.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/00999.png,data/baseline/5/results_raw/dct/stego/00999.png,0,0.9174573421478271,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00999_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_00999_print-diffs_stderr.txt
dct,cover_vs_stego,01099.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/01099.png,data/baseline/5/results_raw/dct/stego/01099.png,0,0.8893334865570068,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_01099_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_01099_print-diffs_stderr.txt
dct,cover_vs_stego,01199.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/01199.png,data/baseline/5/results_raw/dct/stego/01199.png,0,0.8999185562133789,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_01199_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_01199_print-diffs_stderr.txt
dct,cover_vs_stego,01299.png,print-diffs,cover,stego,data/baseline/5/results_raw/dct/cover/01299.png,data/baseline/5/results_raw/dct/stego/01299.png,0,0.8799924850463867,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_01299_print-diffs_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_01299_print-diffs_stderr.txt
